tilegrp,tileid,mjd,expnum,exptime,stage,status,drpqual,drpver,dpos,object,obstime,std_mean_senb,std_mean_senr,std_mean_senz,sci_mean_senb,sci_mean_senr,sci_mean_senz,mod_mean_senb,mod_mean_senr,mod_mean_senz,fluxcal,sci_ra,sci_dec,sci_pa,sci_amass,sci_astsrc,sci_kmpos,sci_focpos,sci_alt,sci_sh_hght,sci_moon_sep,skye_ra,skye_dec,skye_pa,skye_amass,skye_astsrc,skye_kmpos,skye_focpos,skye_name,skye_alt,sci_skye_sep,skye_sh_hght,skye_moon_sep,skyw_ra,skyw_dec,skyw_pa,skyw_amass,skyw_astsrc,skyw_kmpos,skyw_focpos,skyw_name,skyw_alt,sci_skyw_sep,skyw_sh_hght,skyw_moon_sep,moon_ra,moon_dec,moon_phase,moon_fli,sun_alt,moon_alt,filename,location,agcam_location,calib_mjd,ra,dec,pa,NGCname,ra_icrs,dec_icrs,ra_g,dec_g
0011XX,11111,60181,3728,60.0,1,0,0,1.2.1,0,,2023-08-25T04:08:27.294,6.53108045381054e-14,3.34403816706826e-14,2.2367594790274e-14,8.1929240294801e-14,3.2436915418803e-14,2.33275163841658e-14,6.58657586208744e-14,3.28774550071881e-14,2.2178894853657e-14,SCI,337.410625,-20.837111,0.0,1.0329525387314447,CMD position,-50.98,36.03,75.4888,24300.62414,81.0249,321.613,-44.5432,0.0,1.0380609696055247,CMD position,-51.67,35.54,None,74.4367,27.0688,7093.90816,61.4439,333.511643,-23.250798,0.0,1.0159751544279059,CMD position,-49.12,36.37,None,79.8261,4.3455,19655.59968,76.7564,247.68765,-25.28263,98.47,0.5748,-69.9336,23.0426,lvmSFrame-00003728.fits,sdsswork/lvm/spectro/redux/1.2.1/0011XX/11111/60181/lvmSFrame-00003728.fits,sdsswork/data/agcam/lco/60181/coadds/lvm.sci.coadd_s00003728.fits,60177,337.410625,-20.837111,0.0,NGC7293,337.410625,-20.837111,36.16141839427528,-57.11837784310887
0011XX,11111,60212,5511,900.0,1,0,0,1.2.1,0,M33low,2023-09-25T05:06:15.072,5.93007048692439e-14,3.02534439526431e-14,2.05556555746302e-14,1.76820610076228e-14,8.67618680020169e-15,5.69117769931882e-15,5.97512503925962e-14,2.96177549279799e-14,2.01093253539199e-14,MOD,23.39818229004826,30.54888219142393,-0.13527164844496628,2.074315046871116,GDR coadd,-35.19,35.86,28.8218,11226.20684,92.2859,15.656696570206297,26.31406614505264,0.7110958729923272,1.7786333102469147,GDR coadd,-25.74,35.54,None,34.2101,8.014,15112.70013,84.2831,2.061657384431092,-34.65171483442845,0.8829175284037336,1.0105106155289973,GDR coadd,-43.48,36.53,None,81.729,68.2297,5378.71818,49.4528,305.80618,-24.23374,120.69,0.7561,-59.2906,33.695,lvmSFrame-00005511.fits,sdsswork/lvm/spectro/redux/1.2.1/0011XX/11111/60212/lvmSFrame-00005511.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005511.fits,60177,23.39818229004826,30.54888219142393,-0.13527164844496628,NGC598,23.39818229004826,30.54888219142393,133.5719037786825,-31.450434227404184
0011XX,11111,60212,5512,900.0,1,0,0,1.2.1,0,M33up,2023-09-25T05:25:45.401,5.99772467006151e-14,3.04360850168285e-14,2.06212993933213e-14,4.91504625572159e-14,2.74449802724803e-14,1.76687292857333e-14,6.05311632425325e-14,2.97436710997497e-14,2.02043629876764e-14,MOD,23.518731309869295,30.729483505260426,-0.10601865142333082,2.032146993269767,GDR coadd,-28.9,35.64,29.4781,10554.07581,92.2832,15.656702697400602,26.3140256502294,0.71438010568845,1.764376042326075,GDR coadd,-19.7,35.54,None,34.5255,8.1947,14402.26503,84.1059,21.018611554026393,-22.927009187961154,0.8522601861952864,1.0116466995254967,GDR coadd,-47.21,36.43,None,81.2975,53.7101,5937.12904,67.8884,305.98274,-24.15686,120.85,0.7573,-57.8181,29.6356,lvmSFrame-00005512.fits,sdsswork/lvm/spectro/redux/1.2.1/0011XX/11111/60212/lvmSFrame-00005512.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005512.fits,60177,23.518731309869295,30.729483505260426,-0.10601865142333082,NGC598,23.518731309869295,30.729483505260426,133.650566891124,-31.253300300343422
1028XX,1028740,60212,5516,900.0,1,0,0,1.2.1,0,tile_id=1000992,2023-09-25T06:42:05.020,6.06701124770146e-14,3.04395731287375e-14,2.06755854806809e-14,5.78778807157897e-14,2.94497858531083e-14,1.95907797812461e-14,6.11351304024939e-14,2.9782550232083e-14,2.02897209342673e-14,MOD,83.67986817296509,-2.9728164611322665,-62.315579083620996,1.7162279335018604,GDR coadd,-44.85,35.64,35.6388,1747.24529,130.2762,85.80006113786384,-1.2738131030737214,1.641667793992436,1.839480772096007,GDR coadd,-77.21,35.54,grid125,32.9312,2.7158,1692.74241,132.9863,21.018604087550425,-22.92711728774687,0.8935429737042179,1.0251579591532445,GDR coadd,-33.92,36.43,WHAM_south_02,77.2804,63.7298,3993.83211,67.3164,306.73231,-23.84795,121.55,0.7625,-47.3957,14.0789,lvmSFrame-00005516.fits,sdsswork/lvm/spectro/redux/1.2.1/1028XX/1028740/60212/lvmSFrame-00005516.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005516.fits,60177,83.67986817296509,-2.9728164611322665,-62.315579083620996,NGC2024,83.67986817296509,-2.9728164611322665,-153.32687825170817,-18.39964078184586
1028XX,1028771,60212,5517,900.0,1,0,0,1.2.1,0,tile_id=1001023,2023-09-25T06:58:26.561,6.09848989131285e-14,3.06285613881616e-14,2.07051144035169e-14,5.77697734564832e-14,2.98935703008143e-14,1.99034391529441e-14,6.14154558768132e-14,3.00791243468167e-14,2.03541926256111e-14,MOD,84.10129735923466,-2.989532409608087,-62.300631372450205,1.6005217403837624,GDR coadd,-41.84,35.64,38.6672,1576.37435,130.4996,21.018625340113736,-22.927160293759528,1.19411531721776,1.0404647905694326,GDR coadd,-31.51,35.54,WHAM_south_02,73.9683,64.1071,3529.19727,67.1827,85.80024123733176,-1.274002349208489,1.3002086572346248,1.6896761094468224,GDR coadd,-73.62,36.43,grid125,36.2869,2.4136,1540.16421,132.8742,306.90545,-23.78084,121.71,0.7637,-44.5221,10.8298,lvmSFrame-00005517.fits,sdsswork/lvm/spectro/redux/1.2.1/1028XX/1028771/60212/lvmSFrame-00005517.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005517.fits,60177,84.10129735923466,-2.989532409608087,-62.300631372450205,NGC2024,84.10129735923466,-2.989532409608087,-153.10589889843854,-18.034480190315268
1028XX,1028769,60212,5518,900.0,1,0,0,1.2.1,0,tile_id=1001021,2023-09-25T07:17:01.209,6.05141814128173e-14,3.0517502273426e-14,2.06359505575814e-14,5.91014477510148e-14,3.1249360587306e-14,2.06193420067206e-14,6.10521385788399e-14,3.00375180730991e-14,2.02885367798827e-14,MOD,83.70894730100397,-2.243950400833678,-62.31858592996542,1.4871944385496312,GDR coadd,-37.44,35.64,42.2531,1396.17588,130.4692,85.800328,-1.27412,0.0,1.555349402027345,CMD position,-69.92,35.54,grid125,40.0116,2.3044,1358.46869,132.7418,21.01857771173382,-22.927097892171126,0.9441402687502441,1.0638118754559351,GDR coadd,-28.42,36.43,WHAM_south_02,70.0542,64.0566,3001.21508,67.0261,307.10745,-23.70454,121.89,0.765,-41.0891,7.1853,lvmSFrame-00005518.fits,sdsswork/lvm/spectro/redux/1.2.1/1028XX/1028769/60212/lvmSFrame-00005518.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005518.fits,60177,83.70894730100397,-2.243950400833678,-62.31858592996542,NGC2024,83.70894730100397,-2.243950400833678,-153.99174426234512,-18.034611389006958
1028XX,1028799,60212,5519,900.0,1,0,0,1.2.1,0,tile_id=1001051,2023-09-25T07:34:01.124,6.11371737361241e-14,3.06774112816709e-14,2.07833650117325e-14,5.70312281739392e-14,2.9685281880467e-14,1.99245233685606e-14,6.16405399167628e-14,3.01479101597745e-14,2.04096152540462e-14,MOD,83.93395197541096,-1.8878234531552973,-62.317195923422126,1.410932681205243,GDR coadd,-33.88,35.64,45.1334,1214.77728,130.7276,85.80030616748012,-1.274053761070708,1.4878327640920654,1.457596230376907,GDR coadd,-66.28,35.54,grid125,43.3191,1.964,1187.56773,132.616,21.01854427917144,-22.926988894076477,0.9809276532742758,1.0912735873134969,GDR coadd,-25.9,36.43,WHAM_south_02,66.3997,64.4091,2527.73033,66.8782,307.29724,-23.6348,122.07,0.7663,-37.8202,3.8972,lvmSFrame-00005519.fits,sdsswork/lvm/spectro/redux/1.2.1/1028XX/1028799/60212/lvmSFrame-00005519.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005519.fits,60177,83.93395197541096,-1.8878234531552973,-62.317195923422126,NGC2024,83.93395197541096,-1.8878234531552973,-154.2119397030384,-17.66929187621802
1028XX,1028832,60212,5520,900.0,1,0,0,1.2.1,0,tile_id=1001084,2023-09-25T07:50:41.762,6.10216969951945e-14,3.06289607097212e-14,2.07744864445891e-14,5.83782731182551e-14,3.01252873114248e-14,2.02581019601658e-14,6.16124929188962e-14,3.00569207957579e-14,2.04269340920361e-14,MOD,84.74764729789173,-2.649830224830048,-62.273649274914774,1.3423905456269631,GDR coadd,-31.2,35.64,48.1539,1029.84435,130.8422,85.80031728330054,-1.2740518678895478,1.4384507579247892,1.3798101315775295,GDR coadd,-62.66,35.54,grid125,46.447,1.7319,1018.83389,132.4882,21.018548508720777,-22.926992943810806,1.0090272985509599,1.1245582547862216,GDR coadd,-23.53,36.43,WHAM_south_02,62.7777,64.8351,2081.74902,66.729,307.48799,-23.56657,122.24,0.7676,-34.5174,0.7194,lvmSFrame-00005520.fits,sdsswork/lvm/spectro/redux/1.2.1/1028XX/1028832/60212/lvmSFrame-00005520.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005520.fits,60177,84.74764729789173,-2.649830224830048,-62.273649274914774,NGC2024,84.74764729789173,-2.649830224830048,-153.1078206078187,-17.304993897496026
1028XX,1028831,60212,5521,900.0,1,0,0,1.2.1,0,tile_id=1001083,2023-09-25T08:07:20.973,6.14929512570569e-14,3.0771449134472e-14,2.08675686498173e-14,5.4154625260911e-14,2.92246486596707e-14,2.03415562409134e-14,6.19903604410098e-14,3.01984341274002e-14,2.05099786767778e-14,MOD,84.55128124408729,-2.277149001638473,-62.27271629514568,1.2865131028151897,GDR coadd,-27.31,35.64,51.0136,862.85147,130.76,70.85954739044027,-56.128033564372586,1.628875111946966,1.1471481619766462,GDR coadd,-68.91,35.54,WHAM_south_08,60.6599,54.9659,890.01316,87.0558,85.80028228462066,-1.2740385451295495,1.112904528054978,1.3165397872851308,GDR coadd,-58.8,36.43,grid125,49.426,1.6015,852.60559,132.3561,307.68289,-23.49873,122.42,0.7689,-31.1422,-2.4012,lvmSFrame-00005521.fits,sdsswork/lvm/spectro/redux/1.2.1/1028XX/1028831/60212/lvmSFrame-00005521.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005521.fits,60177,84.55128124408729,-2.277149001638473,-62.27271629514568,NGC2024,84.55128124408729,-2.277149001638473,-153.54895341069687,-17.305551536176434
1028XX,1028830,60212,5522,900.0,1,0,0,1.2.1,0,tile_id=1001082,2023-09-25T08:24:00.053,6.08315555819565e-14,3.08914359536338e-14,2.08092439626861e-14,5.56960726598133e-14,2.96545039953348e-14,1.99453458130336e-14,6.12354428029214e-14,3.03654578820923e-14,2.05029147116865e-14,MOD,84.35504496195196,-1.9044820002635205,-62.308947125349846,1.2418951063403583,GDR coadd,-23.41,35.64,53.6316,700.90147,130.6682,70.85951171468392,-56.12799273537784,1.6329317734121436,1.136051148649844,GDR coadd,-66.33,35.54,WHAM_south_08,61.6716,55.3025,720.1785,87.03,85.80027280237724,-1.2740987525192313,1.0679710677531682,1.2651522690935912,GDR coadd,-55.12,36.43,grid125,52.2247,1.5762,692.10576,132.2197,307.88206,-23.4313,122.61,0.7703,-27.7045,-5.4631,lvmSFrame-00005522.fits,sdsswork/lvm/spectro/redux/1.2.1/1028XX/1028830/60212/lvmSFrame-00005522.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005522.fits,60177,84.35504496195196,-1.9044820002635205,-62.308947125349846,NGC2024,84.35504496195196,-1.9044820002635205,-153.9900348732208,-17.30513880685853
1028XX,1028739,60212,5523,900.0,1,0,0,1.2.1,0,tile_id=1000991,2023-09-25T08:41:13.003,6.15370930835471e-14,3.08130877359628e-14,2.08533128724554e-14,5.61122411381657e-14,2.92142028516498e-14,1.90698476453413e-14,6.18618349569896e-14,3.03795586523268e-14,2.05149335884593e-14,MOD,83.48382446505495,-2.600005508507912,-62.3568759628698,1.1884621112615954,GDR coadd,-19.02,35.64,57.2907,545.23463,129.4122,85.80027957292229,-1.2740634829123292,1.3281763182988933,1.2225474574992927,GDR coadd,-51.51,35.54,grid125,54.8815,2.6679,535.91504,132.0743,70.85952566130122,-56.128038464872624,1.2046160337726621,1.128184884716255,GDR coadd,-63.49,36.43,WHAM_south_08,62.4218,54.4813,555.45914,87.0006,308.0924,-23.36213,122.8,0.7717,-24.0965,-8.5607,lvmSFrame-00005523.fits,sdsswork/lvm/spectro/redux/1.2.1/1028XX/1028739/60212/lvmSFrame-00005523.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005523.fits,60177,83.48382446505495,-2.600005508507912,-62.3568759628698,NGC2024,83.48382446505495,-2.600005508507912,-153.77067191728787,-18.399670937348095
0011XX,11111,60222,6112,900.0,1,0,0,1.2.1,0,Rosette,2023-10-05T07:45:57.566,6.05157564052397e-14,3.04909600433756e-14,2.05095004924591e-14,6.18825449850643e-14,3.04994136448124e-14,2.04905703922007e-14,6.11265286793209e-14,3.00837524475179e-14,2.04435992047405e-14,MOD,98.0225659276654,4.903134770610664,0.5109805115373661,1.5682546981343473,GDR coadd,-64.98,35.44,39.6169,890.83656,26.0203,70.85955346164687,-56.12813713959679,2.1556199264034372,1.1353521853670423,GDR coadd,-66.13,35.15,None,61.7371,64.9702,967.91991,86.0981,100.17873742113203,8.96711609763449,1.1439245882652755,1.7336953240816606,GDR coadd,-65.44,36.07,None,35.226,4.593,872.19102,23.2888,87.23801,28.83123,256.15,0.6209,-32.4241,26.2247,lvmSFrame-00006112.fits,sdsswork/lvm/spectro/redux/1.2.1/0011XX/11111/60222/lvmSFrame-00006112.fits,sdsswork/data/agcam/lco/60222/coadds/lvm.sci.coadd_s00006112.fits,60177,98.0225659276654,4.903134770610664,0.5109805115373661,NGC2237,98.0225659276654,4.903134770610664,-153.63995869379386,-2.0513643579611873
0011XX,11111,60222,6113,900.0,1,0,0,1.2.1,0,Rosette,2023-10-05T08:03:00.083,6.03987135574353e-14,3.05861482337468e-14,2.04704447987039e-14,6.70264289110912e-14,3.02924466034297e-14,2.1178684189909e-14,6.07822694074793e-14,3.01409937105624e-14,2.03439640527728e-14,MOD,98.21719980098936,4.529618243226223,0.46745390862374847,1.4742584544546702,GDR coadd,-61.41,35.44,42.7115,735.22083,26.4188,100.17864865504718,8.967205878996042,1.2475758296616446,1.6202590365278218,GDR coadd,-61.79,35.15,None,38.1109,4.8461,723.36235,23.254,70.85952126451659,-56.12805388426372,1.0528947742197183,1.1278092249033722,GDR coadd,-63.32,36.07,None,62.4583,64.6665,795.68508,86.1345,87.34603,28.85302,256.23,0.6202,-29.0729,27.7742,lvmSFrame-00006113.fits,sdsswork/lvm/spectro/redux/1.2.1/0011XX/11111/60222/lvmSFrame-00006113.fits,sdsswork/data/agcam/lco/60222/coadds/lvm.sci.coadd_s00006113.fits,60177,98.21719980098936,4.529618243226223,0.46745390862374847,NGC2237,98.21719980098936,4.529618243226223,-153.21880794669687,-2.0513193003935832
0011XX,11111,60222,6114,900.0,1,0,0,1.2.1,0,Rosette,2023-10-05T08:19:56.495,6.06980458124239e-14,3.05905327933928e-14,2.04152145978673e-14,5.76549397013974e-14,2.84272051698497e-14,1.92279925117366e-14,6.13072542129508e-14,3.01253217479755e-14,2.03163258351236e-14,MOD,98.2500959245244,5.258060732119359,0.4273840535438693,1.4166468165905575,GDR coadd,-57.41,35.44,44.9017,588.59657,25.7341,70.85946223369412,-56.12803640140768,2.1673123491805217,1.1237681442825596,GDR coadd,-60.99,35.15,None,62.8561,65.3745,631.95078,86.1685,100.17873597035579,8.967110033317612,1.0261149307343425,1.5301914278231241,GDR coadd,-57.65,36.07,None,40.807,4.1735,580.05573,23.2194,87.45139,28.8726,256.31,0.6195,-25.6634,29.0981,lvmSFrame-00006114.fits,sdsswork/lvm/spectro/redux/1.2.1/0011XX/11111/60222/lvmSFrame-00006114.fits,sdsswork/data/agcam/lco/60222/coadds/lvm.sci.coadd_s00006114.fits,60177,98.2500959245244,5.258060732119359,0.4273840535438693,NGC2237,98.2500959245244,5.258060732119359,-153.85058403412094,-1.6866446339671204
0011XX,11111,60222,6115,900.0,1,0,0,1.2.1,0,Rosette,2023-10-05T08:36:59.418,6.19839806952001e-14,3.11882530953252e-14,2.08885241694984e-14,6.22477356231289e-14,3.11017254056022e-14,2.04905597268487e-14,6.25306305774086e-14,3.08285553690633e-14,2.07730890269804e-14,MOD,98.44480021448713,4.884394679529306,0.3809552872030566,1.3530737653492908,GDR coadd,-53.75,35.44,47.6512,448.95153,26.13,70.85952104440925,-56.127923535510845,2.1821474675065424,1.1231274539403688,GDR coadd,-58.48,35.15,None,62.9199,65.071,478.86824,86.2003,100.17878524832392,8.967058128397625,0.9561539114255986,1.4576581474928438,GDR coadd,-53.62,36.07,None,43.3168,4.4306,444.21716,23.1838,87.55574,28.89017,256.39,0.6189,-22.1665,30.1978,lvmSFrame-00006115.fits,sdsswork/lvm/spectro/redux/1.2.1/0011XX/11111/60222/lvmSFrame-00006115.fits,sdsswork/data/agcam/lco/60222/coadds/lvm.sci.coadd_s00006115.fits,60177,98.44480021448713,4.884394679529306,0.3809552872030566,NGC2237,98.44480021448713,4.884394679529306,-153.42940306538705,-1.6866053166308732
0011XX,11111,60222,6116,900.0,1,0,0,1.2.1,0,Rosette,2023-10-05T08:54:17.135,6.10680494713453e-14,3.08603002794448e-14,2.06689445243215e-14,5.95161656273481e-14,3.05362561490403e-14,2.0696351522387e-14,6.17109306538633e-14,3.04844886742632e-14,2.05878713722499e-14,MOD,98.4375083846464,4.998318268956398,0.3418224830156865,1.3070307893085928,GDR coadd,-49.68,35.44,49.9153,321.6942,25.9967,70.85956206893684,-56.12795810867711,2.1960086848186378,1.1259838309364456,GDR coadd,-55.98,35.15,None,62.637,65.1782,339.72105,86.2304,100.1787873567132,8.96705803686285,0.8961020734646312,1.3992022488019895,GDR coadd,-49.47,36.07,None,45.618,4.3286,318.86719,23.1469,87.66022,28.90573,256.47,0.6182,-18.5634,31.061,lvmSFrame-00006116.fits,sdsswork/lvm/spectro/redux/1.2.1/0011XX/11111/60222/lvmSFrame-00006116.fits,sdsswork/data/agcam/lco/60222/coadds/lvm.sci.coadd_s00006116.fits,60177,98.4375083846464,4.998318268956398,0.3418224830156865,NGC2237,98.4375083846464,4.998318268956398,-153.53392367157426,-1.6406051930390029
0011XX,11111,60228,6445,900.0,1,0,0,1.2.1,0,Rosette,2023-10-11T07:03:51.427,6.198347656461e-14,3.09250710146083e-14,2.0657761248087e-14,5.92776875842259e-14,3.00059350917316e-14,1.98887838338144e-14,6.24037380616304e-14,3.03742186798611e-14,2.03737101757636e-14,MOD,97.17799473199791,4.9395294172548425,0.5237579830702158,1.6676620650758454,GDR coadd,-68.32,36.19,36.8443,1292.89984,65.2369,100.17868183163964,8.967234251862134,1.4532876122531764,1.8909671709168994,GDR coadd,-69.76,35.74,None,31.9264,5.0091,1254.02873,61.6058,70.85948422536953,-56.1279977244036,1.0499277259976372,1.1476141361193666,GDR coadd,-68.8,36.63,None,60.6186,64.772,1298.65875,101.0888,162.88197,12.03289,322.03,0.1063,-38.3257,-21.6423,lvmSFrame-00006445.fits,sdsswork/lvm/spectro/redux/1.2.1/0011XX/11111/60228/lvmSFrame-00006445.fits,sdsswork/data/agcam/lco/60228/coadds/lvm.sci.coadd_s00006445.fits,60177,97.17799473199791,4.9395294172548425,0.5237579830702158,NGC2237,97.17799473199791,4.9395294172548425,-154.06113309615412,-2.780956827496765
0011XX,11111,60228,6446,900.0,1,0,0,1.2.1,0,Rosette,2023-10-11T07:20:54.804,6.31244746387073e-14,3.15189412248124e-14,2.09871739390794e-14,6.06014160462165e-14,3.05093572879617e-14,2.03133297726824e-14,6.38256989786348e-14,3.10219913434722e-14,2.09439023176805e-14,MOD,97.37309698857833,4.5663512212705415,0.4506549820505532,1.5539682080108326,GDR coadd,-64.79,36.19,40.0543,1116.65775,65.2595,100.1787356814197,8.967153571431668,1.396745671219413,1.744667192749664,GDR coadd,-65.98,35.74,None,34.9719,5.2082,1089.97532,61.7509,70.85950363841512,-56.12800662839769,1.0784175896970425,1.1361634996528736,GDR coadd,-66.15,36.63,None,61.6611,64.4665,1129.95284,101.1281,163.02725,11.98278,322.17,0.1056,-35.3079,-18.0122,lvmSFrame-00006446.fits,sdsswork/lvm/spectro/redux/1.2.1/0011XX/11111/60228/lvmSFrame-00006446.fits,sdsswork/data/agcam/lco/60228/coadds/lvm.sci.coadd_s00006446.fits,60177,97.37309698857833,4.5663512212705415,0.4506549820505532,NGC2237,97.37309698857833,4.5663512212705415,-153.6398455743478,-2.7809929360374355
0011XX,11111,60228,6447,900.0,1,0,0,1.2.1,0,Rosette,2023-10-11T07:37:55.350,6.19691685606596e-14,3.07768542330695e-14,2.06890938399536e-14,5.94558585318769e-14,3.13352395836329e-14,2.08761323792612e-14,6.24911851157725e-14,3.03629199355295e-14,2.05208997318167e-14,MOD,97.56784138701764,4.19320238344207,0.4194979452921736,1.4623302432911405,GDR coadd,-61.23,36.19,43.1445,943.3032,65.2783,70.85954782956641,-56.12810776528967,1.4050671204512883,1.1283318554096946,GDR coadd,-63.76,35.74,None,62.4075,64.1619,960.08669,101.1652,100.17873778414595,8.967086557956167,1.0894576851767994,1.6291871020147135,GDR coadd,-61.92,36.63,None,37.865,5.4326,925.91101,61.8917,163.16803,11.93285,322.3,0.1049,-32.1687,-14.3963,lvmSFrame-00006447.fits,sdsswork/lvm/spectro/redux/1.2.1/0011XX/11111/60228/lvmSFrame-00006447.fits,sdsswork/data/agcam/lco/60228/coadds/lvm.sci.coadd_s00006447.fits,60177,97.56784138701764,4.19320238344207,0.4194979452921736,NGC2237,97.56784138701764,4.19320238344207,-153.21870232414898,-2.7809782132644063
0011XX,11111,60228,6448,900.0,1,0,0,1.2.1,0,Rosette,2023-10-11T07:55:06.503,6.27157100590243e-14,3.12506139030659e-14,2.09969466060572e-14,6.25214930196789e-14,2.87336638392076e-14,2.07211200040754e-14,6.32319652267923e-14,3.09777466352639e-14,2.08979516054666e-14,MOD,97.40494094066365,5.294533783673413,0.3725811250216837,1.409241673788974,GDR coadd,-56.91,36.19,45.2025,779.25398,65.3636,70.8595233581514,-56.12802523781847,1.425695676421933,1.123951482848571,GDR coadd,-61.17,35.74,None,62.8378,65.1754,790.87548,101.2003,100.17874652360592,8.967066685010154,1.0376078734885128,1.5361530995227395,GDR coadd,-57.94,36.63,None,40.6153,4.5891,763.21234,62.0299,163.30606,11.88239,322.44,0.1042,-28.8868,-10.7506,lvmSFrame-00006448.fits,sdsswork/lvm/spectro/redux/1.2.1/0011XX/11111/60228/lvmSFrame-00006448.fits,sdsswork/data/agcam/lco/60228/coadds/lvm.sci.coadd_s00006448.fits,60177,97.40494094066365,5.294533783673413,0.3725811250216837,NGC2237,97.40494094066365,5.294533783673413,-154.27162442068067,-2.416392110774677
